Time, Msgs/s
0, 0
1, 0
2, 0
3, 0
4, 0
5, 709
6, 405
7, 746
8, 649
9, 161
10, 1030
11, 626
12, 601
13, 575
14, 774
15, 632
16, 676
17, 698
18, 698
19, 648
20, 700
21, 721
22, 656
23, 571
24, 700
25, 524
26, 382
27, 733
28, 488
29, 584
30, 634
31, 591
32, 662
33, 595
34, 635
35, 606
36, 586
37, 482
38, 783
39, 751
40, 669
41, 706
42, 702
43, 649
44, 696
45, 681
46, 667
47, 639
48, 709
49, 485
50, 716
51, 439
52, 512
53, 661
54, 537
